[2026-04-02 11:50:48] INFO:     127.0.0.1:58686 - "POST /v1/chat/completions HTTP/1.1" 200 OK
[2026-04-02 11:51:24 TP0] Decode batch, #running-req: 1, #token: 10240, token usage: 0.01, accept len: 2.10, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 238.94, #queue-req: 0
[2026-04-02 11:51:24 TP0] Decode batch, #running-req: 1, #token: 10304, token usage: 0.01, accept len: 2.42, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 274.59, #queue-req: 0
[2026-04-02 11:51:24 TP0] Decode batch, #running-req: 1, #token: 10432, token usage: 0.01, accept len: 2.08, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 235.07, #queue-req: 0
[2026-04-02 11:51:25 TP0] Decode batch, #running-req: 1, #token: 10496, token usage: 0.01, accept len: 2.85, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 324.15, #queue-req: 0
[2026-04-02 11:51:25 TP0] Decode batch, #running-req: 1, #token: 10624, token usage: 0.01, accept len: 2.75, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 312.56, #queue-req: 0
[2026-04-02 11:51:25 TP0] Decode batch, #running-req: 1, #token: 10752, token usage: 0.01, accept len: 2.62, accept rate: 0.66, cuda graph: True, gen throughput (token/s): 297.36, #queue-req: 0
[2026-04-02 11:51:26 TP0] Decode batch, #running-req: 1, #token: 10880, token usage: 0.01, accept len: 2.92, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 330.20, #queue-req: 0
[2026-04-02 11:51:26 TP0] Decode batch, #running-req: 1, #token: 11008, token usage: 0.01, accept len: 3.33, accept rate: 0.83, cuda graph: True, gen throughput (token/s): 376.25, #queue-req: 0
[2026-04-02 11:51:27 TP0] Decode batch, #running-req: 1, #token: 11072, token usage: 0.01, accept len: 2.52, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 286.86, #queue-req: 0
[2026-04-02 11:51:27 TP0] Decode batch, #running-req: 1, #token: 11200, token usage: 0.01, accept len: 2.77, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 314.05, #queue-req: 0
[2026-04-02 11:51:27 TP0] Decode batch, #running-req: 1, #token: 11264, token usage: 0.01, accept len: 2.38, accept rate: 0.59, cuda graph: True, gen throughput (token/s): 270.67, #queue-req: 0
[2026-04-02 11:51:28 TP0] Decode batch, #running-req: 1, #token: 11456, token usage: 0.01, accept len: 3.35, accept rate: 0.84, cuda graph: True, gen throughput (token/s): 379.30, #queue-req: 0
[2026-04-02 11:51:28 TP0] Decode batch, #running-req: 1, #token: 11584, token usage: 0.01, accept len: 3.30, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 373.35, #queue-req: 0
[2026-04-02 11:51:28 TP0] Decode batch, #running-req: 1, #token: 11712, token usage: 0.01, accept len: 3.05, accept rate: 0.76, cuda graph: True, gen throughput (token/s): 346.02, #queue-req: 0
